bidder_id,outcome,nb_bids,nb_auctions,nb_won,max_bids,nb_devices,nb_ips,nb_countries,nb_urls,ratio_main_url,min_action_time,mean_action_time,unique_action_time,min_react_time,mean_react_time,unique_react_time,merchandise_books and music,merchandise_computers,merchandise_home goods,merchandise_jewelry,merchandise_mobile,merchandise_office equipment,merchandise_others,merchandise_sporting goods
fa64831ab5ade55daee13f852c16b0a84ujt0,0.0,108,28,1,79,52,95,17,21,0.42592592592592593,3421052632.0,721774225282.8411,106,0.0,12776315789.49074,59,0,0,0,0,1,0,0,0
3f3a3705be5ea07b9ba7ee646ed756fbssuo7,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,112842105264.0,112842105264.0,1,0,0,0,0,0,1,0,0
1b26a52e1e5980c8487bb35cf5027fdfwfnzp,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,544684210527.0,544684210527.0,1,0,0,0,0,0,0,0,1
c0549e76b179912d52a28c3eb9b29376yaxvu,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
38e919293f5dbd62d87ce288e41aae2a281m2,0.0,89,16,1,28,42,89,1,1,1.0,631578947.0,832976674641.1477,88,421052631.0,642180622009.5114,88,0,0,0,0,0,0,0,1
585e7c21b80baf2225224fe140cdb1a73ddrf,0.0,19,18,1,2,15,18,8,5,0.47368421052631576,41631578948.0,748935672514.6666,18,105263158.0,163091412742.42105,19,0,0,1,0,0,0,0,0
d91a4421996dcf429f575e372915cdcedae6g,0.0,136,57,1,12,90,117,20,36,0.3088235294117647,157894736.0,100272904483.43704,133,0.0,75676083591.32353,123,0,0,0,0,0,1,0,0
880f542a275df1251612886d408b32e8m96cp,0.0,3,2,0,2,2,3,1,2,0.0,1246210526316.0,2187710526316.0,2,315789474.0,36543859649.0,3,0,0,0,0,1,0,0,0
6e4d22dbabcf2eaae5689c7d155e1c1fev15l,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
25d75fd439571c1d9b946f5ec833786063vom,0.0,1,1,0,1,1,1,1,1,1.0,76929105263158.0,76929105263158.0,1,36473684210.0,36473684210.0,1,0,0,0,0,1,0,0,0
5354c02817e47f28e60e44a40ca5e48dll4sz,1.0,15,8,0,4,11,4,4,1,1.0,4052631579.0,805556390977.4286,14,315789474.0,9010526315.733334,15,0,0,0,0,1,0,0,0
d29003d7f3ec1f0e4ca9cc17e6389b4a4phcg,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,92473684211.0,92473684211.0,1,0,0,0,1,0,0,0,0
b37b352197594dae96bb9219bf59d656oz79f,0.0,3,3,1,1,3,3,2,3,0.0,2509947368421.0,30331736842105.0,2,947368421.0,1519561403508.3333,3,0,0,1,0,0,0,0,0
9c509838d129fcee98cb3934079ca36asla50,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
99acffc3cd9bfcd00668dbf472a1979350mxk,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
067ff22ebf0d33fe0deedc816d75973865jo7,0.0,25,16,0,5,15,21,7,11,0.16,4631578947.0,367206140350.875,24,105263158.0,19046315789.6,25,0,0,0,0,0,0,0,1
11a38554244f3c14de043aaf52345c35jjqvo,0.0,30,8,0,21,23,27,2,16,0.4,947368421.0,451221415608.0,29,52631579.0,6628070175.433333,27,0,0,1,0,0,0,0,0
d878560888b11447e73324a6e263fbd5iydo1,0.0,1,1,0,1,1,1,1,1,1.0,76929105263158.0,76929105263158.0,1,473684211.0,473684211.0,1,0,0,0,0,0,0,0,1
0b68888358a492884e3885bcd73ea63bhxidk,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
c748f0d69cc89d5812c9fe3a6413bbb26351l,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,24736842105.0,24736842105.0,1,1,0,0,0,0,0,0,0
eaaae0fb54c7d36724a9679c3128d5a7gn4k5,0.0,444,105,24,39,113,366,14,88,0.18243243243243243,263157895.0,174255554235.4763,420,52631579.0,1167958291956.2996,397,0,1,0,0,0,0,0,0
322addd5687d99bf69306148e12f87dc5jbsh,0.0,4,4,1,1,4,4,1,3,0.5,2452736842105.0,3166368421052.6665,3,12368421052.0,60342105263.25,4,0,0,1,0,0,0,0,0
2c581ec91825362ab66a7ffa05df5e70hl3h3,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,0.0,16,6,1,6,9,15,2,4,0.8125,39684210526.0,4523617543859.6,15,315789474.0,97960526315.8125,15,0,0,0,1,0,0,0,0
a22fdc066a738070c6e4860924d06657hengu,0.0,335,49,3,176,114,190,4,41,0.42686567164179107,0.0,40704695871.41617,310,0.0,64799681020.74848,206,0,0,0,1,0,0,0,0
d6d3daba4bea632d7f5a4e2c5146f109dkd4m,0.0,1,1,0,1,1,1,1,1,1.0,76929105263158.0,76929105263158.0,1,38157894737.0,38157894737.0,1,0,0,0,0,0,1,0,0
1476226300a93d22b15253ed7339429a7ijk0,0.0,35,27,3,4,18,25,1,7,0.8,3157894736.0,2268318885448.9116,34,789473684.0,2216354838709.7095,30,0,0,0,0,0,0,1,0
975dd5178d34453c1c3c8edc47cf44274uv5s,0.0,122,67,3,14,66,108,14,37,0.36065573770491804,0.0,638518921270.1157,121,0.0,493041846419.3033,117,0,0,0,1,0,0,0,0
95fede5853bfffda8f50f6af494ff1d1hsgie,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
2a7d1f9483d34546c4d099e36e3a79790qvjm,0.0,326,114,5,19,152,275,35,64,0.2361963190184049,105263158.0,41841457489.88,303,0.0,196089081399.16458,277,0,0,0,0,0,1,0,0
d36857d18a397e7e24d05dcbef3b919ftjstv,0.0,4,2,0,3,1,4,2,4,0.0,321000000000.0,1760035087719.3333,3,105263158.0,1592105263.25,4,0,0,0,0,0,1,0,0
c62bac5be6489bc0e0a7834a11167171c8ww3,0.0,4,3,0,2,2,2,2,4,0.25,115736842106.0,21055105263158.0,3,2631578947.0,6999999999.75,4,0,0,1,0,0,0,0,0
98783b6bd490f32f56c315307643c824nimw1,0.0,1,1,0,1,1,1,1,1,1.0,76929105263158.0,76929105263158.0,1,5315789474.0,5315789474.0,1,0,0,0,0,0,0,0,1
29cc13d48af9832e0eb481c8a095fec7mom74,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
342f22fed8b1e90c6ff1a6b7bd80f6334w094,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
608d9b68afb12c6c27da6c6565ffe8297wvco,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
c0e1ecd40b81bda3b7dcec501334499dgzq17,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
a1f4d216a1a92507d97166151d7c9fe37bei4,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
5f50c6187a179e2ee7ba2fbcfc845c7a1smgr,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
9434778d2268f1fa2a8ede48c0cd05c097zey,1.0,584,66,3,478,160,458,31,346,0.1832191780821918,157894736.0,132364900243.74957,512,0.0,30884445246.921097,158,0,0,0,1,0,0,0,0
aabc211b4cf4d29e4ac7e7e361371622pockb,1.0,190,40,2,38,14,117,9,1,1.0,684210527.0,406888610414.9259,187,0.0,138014277715.53192,178,0,0,0,0,1,0,0,0
e1da7d96b83f16aa80cc254572cc154fcoudy,0.0,81,63,2,3,52,80,18,46,0.2839506172839506,315789474.0,964413815789.475,80,263157894.0,691467836257.3086,79,0,0,0,0,1,0,0,0
8abc7635daf75f9fbeb63783b7b8ccd5rvuyo,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
e97becf0d4632035ad4cd5e65c827d6f0xawy,0.0,3,3,1,1,3,3,3,3,0.0,1466421052632.0,2693210526316.0,2,421052631.0,4986385964912.0,3,0,0,0,1,0,0,0,0
848d3eaa622b26fe57d352eedd9649f4v6obv,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
5686520af5a4215a239418fec906f88e4she5,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,22157894737.0,22157894737.0,1,0,0,0,0,1,0,0,0
e98d8f348b266653b6784329782fd2e91vu3h,0.0,22,2,0,21,18,22,6,11,0.13636363636363635,71789473684.0,3610927318295.7617,21,0.0,11071770335.045454,16,0,0,0,1,0,0,0,0
68d468e15e0de0bab9694cdca8e799eb2j8kn,1.0,37,15,5,9,1,6,2,7,0.0,105263158.0,96222222222.22223,33,210526316.0,557419590643.3334,36,0,0,0,0,0,1,0,0
64a39f766b2e9d9471b104f0d0289740a9kdq,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
f60edfe5177cab56896a9d6860995095cl1bb,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
e3ccc9bd16fa1f4a92fe87b4a54e5e72uficw,0.0,453,64,2,63,142,357,24,5,0.5165562913907285,52631579.0,170724382859.8053,422,0.0,338900571828.71173,332,0,0,0,1,0,0,0,0
481fdbc92e77bba4c9611841a7d74071elwx6,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
72bc07c7241e1856ba31609d11501c91cswlb,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
792edafa0603516a57932e6103e9dd54ajar7,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
d738b259ec6e6af625d1f41abcfd63e9e53tx,0.0,20,10,1,4,17,20,3,12,0.25,32368421053.0,3943072022160.684,19,4000000000.0,3108151702786.353,17,0,0,0,1,0,0,0,0
4dd2a50e589cde2802c4bab143dea61ak517w,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
fb92fc925c5df50f4da7874a7542cf2210z1f,0.0,1,1,0,1,1,1,1,1,1.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
19815d9bcdc74c3ddfb9ff210c1739f3tup3i,0.0,4,4,0,1,2,4,2,1,1.0,1154736842106.0,1664701754386.0,3,11736842106.0,167684210526.25,4,0,0,1,0,0,0,0,0
91dcfc10da696a6d90966ff795751708er5fp,0.0,76,15,0,10,41,74,22,70,0.09210526315789473,578947369.0,172078596491.22665,73,0.0,36299168975.10526,71,0,0,0,0,1,0,0,0
bd586db332285f3c45814fbb8f638d79d26u7,0.0,8,7,0,2,8,8,4,5,0.125,72947368421.0,10633308270676.715,7,0.0,107026315789.5,8,0,0,0,0,1,0,0,0
927c5e145de79f9ee2ada0ddc054b4e9hc3qj,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,263157895.0,263157895.0,1,0,0,0,0,1,0,0,0
a3c2ba79963b637f15086e6255a46253lwpnb,0.0,1,1,0,1,1,1,1,1,1.0,76929105263158.0,76929105263158.0,1,0.0,0.0,1,0,0,0,0,1,0,0,0
bcf95b210295831ff6e20db3a570f909n3q25,0.0,155,46,0,85,83,140,23,67,0.27741935483870966,684210526.0,466346548188.6558,153,0.0,37303144224.22727,91,0,0,0,1,0,0,0,0
85be8fd21f41bc3dee86597d272825726bp69,0.0,9,7,0,2,8,8,5,8,0.2222222222222222,9263157895.0,1075585526315.875,8,526315790.0,10187134502.88889,9,0,0,0,1,0,0,0,0
59ae36080fae26bccbbc31a4505b6fb3v3zjy,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
ef24ca4be7ccbd6ec68d4ea9f47c9e8ex1g09,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
1cbd9081de4481ada66f1853737f7684ddjd1,1.0,112,45,7,16,4,107,15,1,1.0,2105263157.0,121357989568.52252,111,947368421.0,214510627530.39423,103,0,1,0,0,0,0,0,0
e78cb9678684d649453cd5e1e46baf462lq87,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
2307bb06855a6fe75ab56ee6b4a3860835di5,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,18789473685.0,18789473685.0,1,0,0,0,0,0,0,0,1
6394edfbd35aab54801518835e33ed50hcr5f,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,0.0,0.0,1,0,0,0,0,1,0,0,0
68600b8922561fe26b8b6acf1d11efdfb24k7,0.0,19,3,0,8,16,17,3,6,0.7368421052631579,684210526.0,590964912280.7222,18,473684210.0,5695290858.631579,18,0,0,0,0,0,0,0,1
dadbcec8b02ac75c5935f419b318ceca1wwjw,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
c5babbaace35399cf51a9356bbc22733xpi5h,0.0,2,2,0,1,2,2,1,2,0.5,4632263157894.0,4632263157894.0,1,1789473684.0,1842105263.5,2,0,0,0,0,0,0,0,1
09d71d3e6a6871a7598dc2764c5bb4ffkz6mc,0.0,3,3,0,1,2,2,3,1,1.0,5991526315789.0,29662947368421.0,2,21736842106.0,585561403508.6666,3,0,0,0,0,0,0,0,1
af98b7d5a7c1ccd2968252a2fb1c06f69igbv,0.0,2,2,0,1,2,2,2,1,0.0,28894736842.0,28894736842.0,1,22421052631.0,33447368420.5,2,0,0,0,0,1,0,0,0
96b90af2d3eea4d3b2bc725e1c92e212qu52g,1.0,638,141,29,61,97,476,5,11,0.9827586206896551,52631579.0,121212591919.35793,549,0.0,868226133703.262,551,0,1,0,0,0,0,0,0
8e1f8e5907b3cc256a2a57ae9ac81e063gbz4,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
02bde521e763e4f4e590e8368149e04a96il9,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
6ecd9f4b332eb790dc933aea0a1528e2qkp4y,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
f769b9f92260ecf046efd05bf9ab6822j7c02,0.0,29,27,0,2,22,29,11,19,0.3103448275862069,39263157895.0,2731953007518.7856,28,789473684.0,24217785844.03448,29,0,0,0,0,1,0,0,0
4c4431ec9b6e683bdc5a3118d5140105r1nas,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
1cd8d86911413c73e92ad1170cae68c3pocsn,0.0,1707,501,82,72,369,1394,76,1416,0.07615700058582309,0.0,45304806565.064476,895,0.0,1161857791029.3086,1235,0,0,0,1,0,0,0,0
87aa94042390f9267d3b7d90e42b022ek5mbu,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
bd2cf3a868d168425cf1bde7c49d40b9jq0xu,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
1e342381f2c64318a51a9b71d91897f8dv9ul,0.0,43,21,1,5,35,30,2,24,0.18604651162790697,24105263158.0,315147869674.1905,42,157894737.0,270738066095.48837,43,1,0,0,0,0,0,0,0
da6e2a5651b4f44fa3cff41cf9731ff8qc8fl,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
001068c415025a009fee375a12cff4fcnht8y,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
cf33d05860b7f7d9af73c6091190b81ektz1j,0.0,536,33,1,494,161,404,56,112,0.503731343283582,52631579.0,144249483521.8897,476,0.0,15855459544.393656,107,0,0,0,0,0,0,0,1
9df0b0e5ca66460495931376045feb5fu4y7b,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
d9c6b6d7290e4475bcd6d264fb33a706fqtvc,0.0,141,42,1,93,79,125,22,82,0.2127659574468085,315789474.0,96312781954.88571,137,0.0,25445842868.101448,84,0,0,0,0,1,0,0,0
9ded76c5244a2116a3b5432fa265a800j0bvt,0.0,7,3,0,5,7,7,4,5,0.2857142857142857,73578947368.0,10803096491228.0,6,0.0,25706766917.42857,7,0,0,0,1,0,0,0,0
cab0d4e41ea81636de3bd3a1800d8da8x4yca,0.0,7,7,0,1,7,7,3,6,0.2857142857142857,73526315789.0,2055008771929.8333,6,3947368421.0,151917293232.85715,7,0,0,0,0,1,0,0,0
53691811bd992911edb9f5f64f49d8f5luk1f,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
0cca10034c58287ee6fbec14a3f96c3546sdh,0.0,2,1,0,2,2,2,2,2,0.0,65710421052632.0,65710421052632.0,1,52631579.0,184210526.5,2,0,0,0,0,1,0,0,0
827da66b68b225547050c11df16f845618ptk,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
1ae57d217b27820cabf6e24b721bfb38s6ja0,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
7cb144485c703ac09fc73aa646041f72ogqwv,0.0,2,2,0,1,2,2,2,2,0.5,5262052631579.0,5262052631579.0,1,6789473684.0,7263157894.5,2,0,0,1,0,0,0,0,0
577af9ccdc29dcacbbce0f36b7c1ff15btljp,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
21580623ea81c5b0b82aaf74890218e5mio2z,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
6531bde8d4decd9708ff4407ef95e887a26yi,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
ff58ffde976a4899dcd89597a7877e18lntgz,0.0,86,56,0,5,51,82,20,28,0.4418604651162791,473684210.0,157480495356.04706,85,0.0,174878824969.3256,78,0,0,0,0,0,0,0,1
806a46eb814ec7a09bfffcf38b0763d344tc3,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,21263157895.0,21263157895.0,1,1,0,0,0,0,0,0,0
20cb327bff59dc8f4fe1ac68a30f02eb6jrq6,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
f5a67722732675f6285b70b9f008665fq01bk,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
758bd601d6700494300ec1647682eb34vq1zp,0.0,2,1,0,2,2,2,2,2,0.5,2261000000000.0,2261000000000.0,1,0.0,368421052.5,2,0,0,0,0,1,0,0,0
80e753fbea14f966b1fc6d1e194d4e66822ms,0.0,27,14,0,5,19,23,1,10,0.4074074074074074,157894737.0,503929149797.5769,26,157894737.0,71561403508.7037,27,0,0,0,0,0,0,0,1
d0231e5200b870c055db7e3daae24bc8lt7at,0.0,10,9,1,2,8,8,6,7,0.4,6210526316.0,7982087719298.223,9,6210526316.0,128000000000.0,10,0,0,0,0,1,0,0,0
bff9a98b73f2b9a01300d3fd3d55b16b1190o,0.0,6,3,0,4,5,6,4,6,0.16666666666666666,2393473684210.0,14487210526315.8,5,0.0,1385964912.1666667,6,0,0,0,1,0,0,0,0
03244a553a252dcc3a3037f0371c8d33fmpd1,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,1052631579.0,1052631579.0,1,0,0,0,1,0,0,0,0
28c0d4c81a22958352aa742f7d74e477qwo51,0.0,2,2,0,1,2,2,1,2,0.0,1850736842105.0,1850736842105.0,1,684210526.0,31026315789.5,2,0,0,0,0,1,0,0,0
461dc3d03d1e28d52770a4d3dc7db34558fcg,0.0,8,7,0,2,1,8,4,1,1.0,74263157895.0,10068939849624.0,7,2684210527.0,947993421052.75,8,0,0,0,0,0,0,0,1
d27221cf2bfaf0fa7a60ffd3e1e3a53efagvp,0.0,67,32,0,7,40,58,8,37,0.208955223880597,1947368421.0,195927432216.9091,66,105263157.0,15806220095.621212,56,0,0,0,0,1,0,0,0
915ccac760c7359a446100fd1a54bbf6oyrzf,0.0,338,148,3,55,145,284,25,183,0.21301775147928995,157894737.0,229048414805.56082,327,0.0,183162838915.4788,304,0,0,0,1,0,0,0,0
60b8145bcfed7a5f2a23b596a8aff99cdzn4m,0.0,7,2,0,6,7,7,1,5,0.42857142857142855,401157894737.0,1342684210526.3333,6,105263158.0,21353383458.714287,6,0,0,0,0,0,0,0,1
0e66933c924764a59760aaae5368e7d1e0s88,0.0,5,5,1,1,5,5,2,5,0.0,822052631578.0,2765684210526.25,4,105263158.0,19000000000.0,4,0,0,0,0,1,0,0,0
48117c1e2b56cfc8739f83683e01d9b2aoc66,0.0,2,1,0,2,1,2,1,2,0.5,11517000000000.0,11517000000000.0,1,368421053.0,710526316.0,2,0,0,1,0,0,0,0,0
6086425310e05e77a53317490e8c1f3cxzf2r,0.0,50,7,0,16,40,25,5,27,0.42,736842105.0,275339419978.53064,49,52631579.0,12141052631.66,44,0,0,1,0,0,0,0,0
3073231f45ca50ad6830d4dc7261f283iwjjm,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
9baf61c813f1d4a09e3c70f6dc741f34voe3n,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
024cf43497fd7381df6254888670f84bwbbam,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
75c4518eba20c9299a3a836d9905c327w6j8b,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
47e0637718480102d235233c83661a7850foh,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
12d6239a92972a35bc990225b3ab33466znm8,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
d65efaa8129a85f85bf909e5abde8c3628gfv,0.0,1055,242,9,51,268,785,55,511,0.3127962085308057,0.0,73269299910.1167,737,0.0,98805958862.68486,750,0,0,0,1,0,0,0,0
